序号,时间(s),电压,阻抗
1584,197.961,-1.674803057472537,6801.556641
1585,198.086,-1.6740625936322295,6800.529785
1586,198.212,-1.6741483299263802,6801.950684
1587,198.337,-1.675422588534378,6801.166016
1588,198.461,-1.6780036123573534,6800.654297
1589,198.586,-1.6817002387521511,6801.197754
1590,198.712,-1.6860359152168458,6800.742676
1591,198.837,-1.6903550725933547,6800.135742
1592,198.961,-1.693974825851039,6799.22998
1593,199.086,-1.6963438622625093,6799.53125
1594,199.211,-1.6971754733297562,6797.963867
1595,199.336,-1.696519535027868,6798.445313
1596,199.461,-1.6947503156464518,6797.091797
1597,199.587,-1.6924804169761152,6797.540039
1598,199.711,-1.6904340055147464,6797.452637
1599,199.836,-1.6893058470779094,6798.74707
1600,199.961,-1.6896213785992416,6797.935059
1601,200.086,-1.6916183282520778,6798.175293
1602,200.212,-1.6951758665342473,6798.74707
1603,200.336,-1.699808230614228,6798.780762
1604,200.461,-1.7047318513453689,6798.688477
1605,200.586,-1.7090145341695226,6799.141113
1606,200.711,-1.7117942372863726,6797.935059
1607,200.836,-1.7125044857569631,6798.145996
1608,200.961,-1.7110144649214887,6798.628906
1609,201.086,-1.7076311595445364,6798.115723
1610,201.212,-1.7029838426727175,6798.358398
1611,201.336,-1.6978495632781168,6798.930664
1612,201.461,-1.6929757862066621,6798.658203
1613,201.587,-1.6889472207533842,6796.969238
1614,201.711,-1.6861265433555896,6798.057617
1615,201.836,-1.6846586887286394,6797.633301
1616,201.961,-1.6844973342107699,6797.361816
1617,202.086,-1.6854276374267319,6797.39209
1618,202.211,-1.6870956694270371,6797.362793
1619,202.337,-1.68906125262359,6797.633789
1620,202.461,-1.690869747416792,6797.33252
1621,202.586,-1.6921278010729583,6797.152344
1622,202.711,-1.6925721541173235,6797.180176
1623,202.836,-1.692118198816044,6797.333008
1624,202.961,-1.6908720170700495,6798.358398
1625,203.086,-1.6891035851512155,6798.086914
1626,203.211,-1.687194595191179,6798.811523
1627,203.336,-1.6855691805776585,6797.727539
1628,203.462,-1.684606207624215,6798.539063
1629,203.588,-1.6845450650326657,6798.781738
1630,203.711,-1.685418442939589,6797.696289
1631,203.836,-1.6870420606916714,6797.908203
1632,203.961,-1.689065273546831,6798.662598
1633,204.086,-1.6910646006176104,6797.696777
1634,204.211,-1.6926513274546486,6797.337402
1635,204.336,-1.6935593755181924,6797.277832
1636,204.461,-1.6936896077088535,6795.554199
1637,204.587,-1.6931140114031065,6795.131348
1638,204.711,-1.692060503818972,6795.074219
1639,204.836,-1.690885168555364,6795.706543
1640,204.961,-1.690016970894009,6795.916016
1641,205.086,-1.6898647383991499,6796.700684
1642,205.211,-1.690700593968024,6795.85498
1643,205.336,-1.6925505326733423,6794.861816
1644,205.461,-1.6951300684684592,6795.796387
1645,205.587,-1.6978683659349665,6795.978027
1646,205.711,-1.7000477696482352,6795.949707
1647,205.836,-1.7010288604540897,6796.249512
1648,205.961,-1.7004683431815713,6796.731445
1649,206.086,-1.698429239057023,6796.702637
1650,206.211,-1.6953407782206815,6796.008789
1651,206.337,-1.6918376201132932,6795.255371
1652,206.461,-1.6885502317427852,6796.731445
1653,206.586,-1.6859281238870758,6795.830566
1654,206.711,-1.6841581191695107,6795.437012
1655,206.836,-1.6831888936920825,6795.979004
1656,206.962,-1.6828189888630962,6796.643066
1657,207.086,-1.6827921479214705,6796.674316
1658,207.212,-1.682870380642544,6796.19043
1659,207.336,-1.6828794641644993,6797.695801
1660,207.461,-1.6827255820954399,6797.969238
1661,207.586,-1.6823858428100256,6797.516113
1662,207.711,-1.681886915582396,6798.45166
1663,207.836,-1.6812853299597617,6797.243652
1664,207.962,-1.680648078800649,6797.697754
1665,208.086,-1.6800283729236687,6797.154785
1666,208.211,-1.6794446918295378,6797.727051
1667,208.336,-1.678876524252404,6797.456055
1668,208.461,-1.6782772724981145,6796.73291
1669,208.586,-1.6775944913700591,6797.396484
1670,208.711,-1.6767910273565785,6798.268555
1671,208.836,-1.675862523560447,6797.520508
1672,208.961,-1.6748413401110556,6798.663574
1673,209.086,-1.6737809846320657,6799.293457
1674,209.211,-1.6727313573383764,6799.146484
1675,209.336,-1.671721721856264,6799.900391
1676,209.461,-1.6707588309899761,6798.39209
1677,209.586,-1.669839869990565,6798.664063
1678,209.711,-1.6689778635287689,6797.910156
1679,209.836,-1.6682279110532097,6797.820313
1680,209.961,-1.6676923061239326,6798.062988
1681,210.086,-1.667491929791011,6798.181641
1682,210.211,-1.6677149320490148,6798.574219
1683,210.336,-1.668365989342313,6798.331543
1684,210.461,-1.669336860237009,6800.382324
1685,210.586,-1.6704164888885493,6799.540039
1686,210.711,-1.6713510895927102,6799.421875
1687,210.836,-1.671936141781043,6798.904297
1688,210.961,-1.6720919121015942,6799.481445
1689,211.086,-1.6718795132196678,6799.025879
1690,211.211,-1.6714529347659206,6800.535645
1691,211.336,-1.67097461449986,6799.572266
1692,211.461,-1.6705310219855858,6799.751465
1693,211.586,-1.6700843200140125,6799.39209
1694,211.711,-1.669486475433833,6800.173828
1695,211.836,-1.6685500036176912,6800.598633
1696,211.961,-1.6671337637138999,6799.572266
1697,212.086,-1.6652010464940492,6800.508301
1698,212.211,-1.6628362305185056,6799.483887
1699,212.336,-1.6602258572520565,6800.480469
1700,212.461,-1.6576111925730885,6800.297363
1701,212.585,-1.6552261578945577,6798.789063
1702,212.71,-1.6532471976623448,6796.46582
1703,212.836,-1.651774205857758,6797.458984
1704,212.96,-1.6508351676727295,6796.494629
1705,213.086,-1.6503958753258297,6797.189453
1706,213.211,-1.6503704260566905,6797.641602
1707,213.335,-1.6506381289287435,6798.39502
1708,213.461,-1.6510634224630925,6798.907227
1709,213.585,-1.6515117357190858,6797.342285
1710,213.71,-1.651865209236968,6796.80127
1711,213.836,-1.652041599674753,6797.400391
1712,213.961,-1.6520026206620448,6797.791016
1713,214.085,-1.6517374521118149,6797.671875
1714,214.211,-1.6512317987442373,6797.158691
1715,214.336,-1.6504483363267362,6797.944336
1716,214.461,-1.6493334392266592,6797.611816
1717,214.586,-1.647849037788095,6796.675781
1718,214.71,-1.646019020963393,6796.494629
1719,214.836,-1.6439657306594053,6796.73584
