序号,时间(s),电压(V)
557,2.248,1.0029011195169912
558,2.252,0.570948445941496
559,2.256,0.05885766441056227
560,2.26,-0.44315332470594
561,2.264,-0.8411016274112414
562,2.268,-1.0606926217003616
563,2.272,-1.0668330245003952
564,2.276,-0.8729292456145539
565,2.28,-0.5367665158264695
566,2.284,-0.1444585759421516
567,2.288,0.21219155484594288
568,2.292,0.4583664004075542
569,2.296,0.5533509099260254
570,2.3,0.49794774643508277
571,2.304,0.32985986513205856
572,2.308,0.10810187295746869
573,2.312,-0.10812496414112942
574,2.316,-0.27815232360811354
575,2.32,-0.38946093892317485
576,2.324,-0.45558656410231463
577,2.328,-0.5043513461286946
578,2.332,-0.5616802601145973
579,2.336,-0.6370864129522791
580,2.34,-0.7156658092285612
581,2.344,-0.759263862599816
582,2.348,-0.7170527363182816
583,2.352,-0.5432015380066766
584,2.356,-0.21695197787576612
585,2.36,0.24101356488518683
586,2.364,0.7615927310044023
587,2.368,1.2326642260468714
588,2.372,1.516009631634196
589,2.376,1.4721182795596348
590,2.38,0.9885600803697822
591,2.384,0.007520110193779237
592,2.388,-1.4531403690397988
593,2.392,-3.2922998261300322
594,2.396,-5.337177362235289
